# term,courseCode,courseName,questionId,question,optionA,optionB,optionC,optionD,correctIndex(1-4)
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q5,Which logic gate outputs true when at least one input is true,OR gate,AND gate,NAND gate,NOR gate,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q6,Which gate produces the complement of input,NOT gate,AND gate,OR gate,XOR gate,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q7,Which gate outputs false only when both inputs are true,NAND gate,AND gate,OR gate,XOR gate,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q8,Which gate outputs true only when inputs differ,XOR gate,AND gate,OR gate,NOR gate,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q9,Which gate outputs true when inputs are equal,XNOR gate,XOR gate,AND gate,NAND gate,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q10,Which representation lists outputs for all input combinations,Truth table,Flowchart,Block diagram,State table,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q11,Which form expresses Boolean function as sum of minterms,Canonical SOP,POS form,Truth table form,Logic table,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q12,Which form expresses Boolean function as product of maxterms,Canonical POS,SOP form,Truth table form,Logic table,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q13,Which technique simplifies Boolean expressions,Karnaugh map,Truth table,Flowchart,Timing diagram,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q14,Which circuit performs addition of binary numbers,Adder,Decoder,Encoder,Multiplexer,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q15,Which adder adds three bits including carry,Full adder,Half adder,Encoder,Decoder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q16,Which adder adds two bits only,Half adder,Full adder,Encoder,Multiplexer,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q17,Which circuit converts binary to one active output line,Decoder,Encoder,Multiplexer,Adder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q18,Which circuit converts active input line into binary code,Encoder,Decoder,Multiplexer,Adder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q19,Which device selects one of many inputs to single output,Multiplexer,Encoder,Decoder,Demultiplexer,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q20,Which device distributes single input to multiple outputs,Demultiplexer,Multiplexer,Encoder,Decoder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q21,Which memory element stores one bit,Flip flop,Register,Counter,Adder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q22,Which flip flop has inputs J and K,JK flip flop,D flip flop,T flip flop,SR flip flop,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q23,Which flip flop eliminates race around problem,Master slave JK flip flop,SR flip flop,D flip flop,T flip flop,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q24,Which device stores multiple bits temporarily,Register,Counter,Flip flop,Decoder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q25,Which sequential circuit counts clock pulses,Counter,Register,Decoder,Encoder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q26,Which counter changes state without clock synchronization,Asynchronous counter,Synchronous counter,Modulo counter,Up counter,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q27,Which counter changes state with common clock,Synchronous counter,Asynchronous counter,Down counter,Up counter,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q28,Which diagram represents states and transitions,State diagram,Flowchart,Truth table,K map,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q29,Which machine outputs depend on current state only,Moore machine,Mealy machine,Sequential machine,Digital machine,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q30,Which machine outputs depend on state and input,Mealy machine,Moore machine,Sequential machine,Logic machine,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q31,Which design reduces number of states,State minimization,State expansion,State duplication,State mapping,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q32,Which memory type is volatile,RAM,ROM,EPROM,EEPROM,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q33,Which memory retains data without power,ROM,RAM,Cache,Register,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q34,Which memory stores fixed data permanently,ROM,RAM,Register,Cache,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q35,Which logic device can be programmed to implement logic,PLA,Decoder,Encoder,Multiplexer,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q36,Which technique reduces address pins in memory chips,Address multiplexing,Data multiplexing,Bit shifting,Clock gating,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q37,Which sequential circuit uses clock signal,Synchronous circuit,Asynchronous circuit,Combinational circuit,Static circuit,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q38,Which circuit output depends only on present inputs,Combinational circuit,Sequential circuit,Memory circuit,Register circuit,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q39,Which circuit output depends on past state,Sequential circuit,Combinational circuit,Logic gate circuit,Register circuit,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q40,Which latch has set and reset inputs,SR latch,D latch,JK latch,T latch,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q41,Which latch avoids invalid state in SR latch,D latch,JK latch,T latch,SR latch,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q42,Which flip flop toggles output when input is 1,T flip flop,D flip flop,SR flip flop,JK flip flop,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q43,Which device groups multiple flip flops for storage,Register,Counter,Decoder,Multiplexer,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q44,Which logic mode uses pulses as signals,Pulse mode logic,Level mode logic,Static mode logic,Clock mode logic,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q45,Which design assumes inputs change only when circuit stable,Fundamental mode design,Clocked design,Pulse design,Edge design,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q46,Which logic simplifies Boolean expressions,Karnaugh map,Flowchart,State table,Timing diagram,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q47,Which circuit stores temporary digital data,Register,Decoder,Encoder,Multiplexer,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q48,Which component implements programmable logic arrays,PLA device,Register,Decoder,Encoder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q49,Which digital component counts pulses sequentially,Counter,Register,Decoder,Encoder,1
2-1,CSE 205,Digital Logic Design,2-1-CSE205-Q50,Which logic gate alone can implement any Boolean function,NAND gate,AND gate,OR gate,XOR gate,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q1,Which algorithm finds minimum spanning tree using greedy strategy,Prim algorithm,Dijkstra algorithm,Bellman Ford algorithm,Floyd Warshall algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q2,Which algorithm builds minimum spanning tree using edge sorting,Kruskal algorithm,Prim algorithm,Dijkstra algorithm,A star algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q3,Which algorithm finds shortest path from single source,Dijkstra algorithm,Prim algorithm,Kruskal algorithm,Merge sort,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q4,Which algorithm can handle negative edge weights,Bellman Ford algorithm,Dijkstra algorithm,Prim algorithm,Kruskal algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q5,Which algorithm computes shortest paths between all pairs,Floyd Warshall algorithm,Dijkstra algorithm,Kruskal algorithm,Prim algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q6,Which algorithm solves maximum flow problem,Ford Fulkerson algorithm,Dijkstra algorithm,Kruskal algorithm,Prim algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q7,Which problem finds maximum matching in bipartite graph,Bipartite matching problem,Shortest path problem,Sorting problem,Searching problem,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q8,Which tree maintains balance using height difference,AVL tree,Binary tree,Heap tree,Trie tree,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q9,Which balanced tree uses color property,Red black tree,AVL tree,Binary tree,B tree,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q10,Which tree adjusts itself after every access,Splay tree,AVL tree,Binary tree,Heap tree,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q11,Which structure maintains sorted list using probabilistic levels,Skip list,Linked list,Array list,Stack,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q12,Which heap supports fast decrease key operation,Fibonacci heap,Binary heap,Max heap,Min heap,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q13,Which heap consists of collection of binomial trees,Binomial heap,Binary heap,AVL tree,Red black tree,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q14,Which technique maps keys to array indices,Hashing,Sorting,Searching,Traversal,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q15,Which function converts key into hash value,Hash function,Sorting function,Traversal function,Search function,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q16,Which problem class can be verified in polynomial time,NP problems,P problems,Hard problems,Exponential problems,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q17,Which class contains problems solvable in polynomial time,P class,NP class,NP complete class,NP hard class,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q18,Which problems are both NP and NP hard,NP complete problems,P problems,Sorting problems,Searching problems,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q19,Which problems are at least as hard as NP complete problems,NP hard problems,P problems,NP easy problems,Polynomial problems,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q20,Which technique tries all possible solutions recursively,Backtracking,Greedy method,Dynamic programming,Divide and conquer,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q21,Which technique prunes search tree using bounds,Branch and bound,Backtracking,Greedy algorithm,Sorting algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q22,Which algorithm technique finds near optimal solutions,Approximation algorithm,Exact algorithm,Sorting algorithm,Search algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q23,Which string matching algorithm compares pattern sequentially,Naive string matching algorithm,KMP algorithm,Boyer Moore algorithm,Rabin Karp algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q24,Which algorithm uses prefix table for pattern matching,KMP algorithm,Naive algorithm,Boyer Moore algorithm,Rabin Karp algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q25,Which algorithm uses hashing for string matching,Rabin Karp algorithm,KMP algorithm,Naive algorithm,DFS algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q26,Which algorithm scans pattern from right to left,Boyer Moore algorithm,KMP algorithm,Naive algorithm,DFS algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q27,Which tree rotation fixes imbalance in AVL trees,Left or right rotation,Sorting rotation,Search rotation,Traversal rotation,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q28,Which property ensures AVL tree balance,Balance factor,Depth factor,Height factor,Weight factor,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q29,Which tree ensures O(log n) search time,Balanced binary search tree,Linked list,Stack,Queue,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q30,Which heap structure improves amortized complexity,Fibonacci heap,Binary heap,AVL tree,Red black tree,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q31,Which technique reduces NP problem complexity heuristically,Approximation algorithm,Exact algorithm,Sorting algorithm,Searching algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q32,Which data structure is commonly used in Dijkstra algorithm,Priority queue,Stack,Queue,Linked list,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q33,Which algorithm repeatedly selects smallest edge,Kruskal algorithm,Prim algorithm,Dijkstra algorithm,Bellman Ford algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q34,Which algorithm expands minimum distance node first,Dijkstra algorithm,Prim algorithm,Kruskal algorithm,DFS algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q35,Which graph problem finds minimal connection cost,Minimum spanning tree,Shortest path,Maximum flow,String matching,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q36,Which matching algorithm is used for bipartite graphs,Hungarian algorithm,Prim algorithm,Kruskal algorithm,Dijkstra algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q37,Which technique solves combinatorial search problems,Backtracking,Sorting,Traversal,Hashing,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q38,Which algorithm technique explores solution space tree,Branch and bound,Greedy algorithm,Dynamic programming,Divide and conquer,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q39,Which algorithm reduces repeated comparisons in string matching,KMP algorithm,Naive algorithm,Bubble sort,Merge sort,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q40,Which algorithm shifts pattern intelligently,Boyer Moore algorithm,Naive algorithm,KMP algorithm,DFS algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q41,Which complexity class contains hardest NP problems,NP complete class,P class,Polynomial class,Linear class,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q42,Which complexity class may not be solvable in polynomial time,NP hard,P class,Sorting class,Search class,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q43,Which tree operation moves accessed node to root,Splay operation,Rotation operation,Insertion operation,Deletion operation,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q44,Which heap operation merges two heaps efficiently,Binomial heap merge,AVL merge,Tree merge,Stack merge,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q45,Which algorithm design deals with difficult problems heuristically,Approximation algorithm,Sorting algorithm,Search algorithm,Traversal algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q46,Which algorithm solves network flow problems,Ford Fulkerson algorithm,Prim algorithm,Dijkstra algorithm,Kruskal algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q47,Which algorithm repeatedly augments paths in flow network,Ford Fulkerson algorithm,Dijkstra algorithm,DFS algorithm,BFS algorithm,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q48,Which data structure supports efficient union operations,Disjoint set,Stack,Queue,Linked list,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q49,Which technique reduces search space using constraints,Branch and bound,Sorting,Traversal,Hashing,1
2-1,CSE 207,Data Structures and Algorithms II,2-1-CSE207-Q50,Which problem category includes traveling salesman problem,NP complete problem,P problem,Sorting problem,Traversal problem,1
2-1,CSE 215,Database,2-1-CSE215-Q1,What is a database,A structured collection of data,A program,A compiler,A hardware device,1
2-1,CSE 215,Database,2-1-CSE215-Q2,Which software manages databases,DBMS,Compiler,Assembler,Interpreter,1
2-1,CSE 215,Database,2-1-CSE215-Q3,Which model organizes data into tables,Relational model,Hierarchical model,Network model,Object model,1
2-1,CSE 215,Database,2-1-CSE215-Q4,Which diagram is used for database design,Entity relationship diagram,Flowchart,Block diagram,Class diagram,1
2-1,CSE 215,Database,2-1-CSE215-Q5,Which component represents real world objects in ER model,Entity,Attribute,Relation,Tuple,1
2-1,CSE 215,Database,2-1-CSE215-Q6,Which component describes properties of entity,Attribute,Entity,Relation,Schema,1
2-1,CSE 215,Database,2-1-CSE215-Q7,Which key uniquely identifies a record,Primary key,Foreign key,Composite key,Secondary key,1
2-1,CSE 215,Database,2-1-CSE215-Q8,Which key references primary key of another table,Foreign key,Primary key,Unique key,Secondary key,1
2-1,CSE 215,Database,2-1-CSE215-Q9,Which SQL command retrieves data,SELECT,INSERT,DELETE,UPDATE,1
2-1,CSE 215,Database,2-1-CSE215-Q10,Which SQL command inserts data,INSERT,SELECT,DELETE,ALTER,1
2-1,CSE 215,Database,2-1-CSE215-Q11,Which SQL command removes data,DELETE,SELECT,INSERT,UPDATE,1
2-1,CSE 215,Database,2-1-CSE215-Q12,Which SQL command modifies existing records,UPDATE,INSERT,DELETE,SELECT,1
2-1,CSE 215,Database,2-1-CSE215-Q13,Which SQL clause filters records,WHERE,GROUP BY,ORDER BY,HAVING,1
2-1,CSE 215,Database,2-1-CSE215-Q14,Which SQL clause sorts results,ORDER BY,WHERE,GROUP BY,HAVING,1
2-1,CSE 215,Database,2-1-CSE215-Q15,Which SQL clause groups rows,GROUP BY,ORDER BY,WHERE,SELECT,1
2-1,CSE 215,Database,2-1-CSE215-Q16,Which SQL function counts rows,COUNT,MAX,MIN,SUM,1
2-1,CSE 215,Database,2-1-CSE215-Q17,Which language describes relational operations,Relational algebra,Assembly language,Machine language,Functional language,1
2-1,CSE 215,Database,2-1-CSE215-Q18,Which relational algebra operation selects rows,Selection,Projection,Join,Union,1
2-1,CSE 215,Database,2-1-CSE215-Q19,Which relational algebra operation selects columns,Projection,Selection,Join,Union,1
2-1,CSE 215,Database,2-1-CSE215-Q20,Which operation combines two tables,Join,Projection,Selection,Difference,1
2-1,CSE 215,Database,2-1-CSE215-Q21,Which constraint ensures unique values,Unique constraint,Foreign constraint,Join constraint,Check constraint,1
2-1,CSE 215,Database,2-1-CSE215-Q22,Which constraint prevents null values,Not null constraint,Unique constraint,Primary constraint,Foreign constraint,1
2-1,CSE 215,Database,2-1-CSE215-Q23,Which database object executes automatically on events,Trigger,View,Index,Procedure,1
2-1,CSE 215,Database,2-1-CSE215-Q24,Which database object stores reusable SQL code,Stored procedure,Index,View,Trigger,1
2-1,CSE 215,Database,2-1-CSE215-Q25,Which dependency describes relation between attributes,Functional dependency,Logical dependency,Data dependency,Key dependency,1
2-1,CSE 215,Database,2-1-CSE215-Q26,Which process removes redundancy in database,Normalization,Denormalization,Compilation,Optimization,1
2-1,CSE 215,Database,2-1-CSE215-Q27,Which normal form removes partial dependency,Second normal form,First normal form,Third normal form,Fourth normal form,1
2-1,CSE 215,Database,2-1-CSE215-Q28,Which normal form removes transitive dependency,Third normal form,First normal form,Second normal form,Boyce Codd normal form,1
2-1,CSE 215,Database,2-1-CSE215-Q29,Which storage structure improves search speed,Index,Trigger,Procedure,View,1
2-1,CSE 215,Database,2-1-CSE215-Q30,Which index structure is commonly used in databases,B plus tree index,AVL tree index,Red black tree index,Heap index,1
2-1,CSE 215,Database,2-1-CSE215-Q31,Which indexing technique uses hash functions,Hash index,B tree index,B plus tree index,Tree index,1
2-1,CSE 215,Database,2-1-CSE215-Q32,Which process translates SQL query into execution plan,Query processing,Data mining,Data cleaning,Indexing,1
2-1,CSE 215,Database,2-1-CSE215-Q33,Which process improves query execution efficiency,Query optimization,Data sorting,Data compression,Data cleaning,1
2-1,CSE 215,Database,2-1-CSE215-Q34,Which concept ensures atomic operations in database,Transaction,Indexing,Trigger,View,1
2-1,CSE 215,Database,2-1-CSE215-Q35,Which property ensures all or nothing execution,Atomicity,Consistency,Isolation,Durability,1
2-1,CSE 215,Database,2-1-CSE215-Q36,Which property ensures database remains valid after transaction,Consistency,Atomicity,Isolation,Durability,1
2-1,CSE 215,Database,2-1-CSE215-Q37,Which property isolates concurrent transactions,Isolation,Atomicity,Consistency,Durability,1
2-1,CSE 215,Database,2-1-CSE215-Q38,Which property ensures data survives failures,Durability,Atomicity,Consistency,Isolation,1
2-1,CSE 215,Database,2-1-CSE215-Q39,Which technique manages simultaneous transactions,Concurrency control,Data compression,Indexing,Query parsing,1
2-1,CSE 215,Database,2-1-CSE215-Q40,Which mechanism restores database after failure,Recovery system,Backup system,Replication system,Indexing system,1
2-1,CSE 215,Database,2-1-CSE215-Q41,Which database distributes data across multiple servers,Distributed database,Relational database,Centralized database,Object database,1
2-1,CSE 215,Database,2-1-CSE215-Q42,Which database processes queries using multiple processors,Parallel database,Sequential database,Centralized database,Distributed database,1
2-1,CSE 215,Database,2-1-CSE215-Q43,Which term refers to very large datasets,Big data,Small data,Meta data,Mini data,1
2-1,CSE 215,Database,2-1-CSE215-Q44,Which technology analyzes large datasets,Big data analytics,SQL analytics,Array analytics,Graph analytics,1
2-1,CSE 215,Database,2-1-CSE215-Q45,Which database type supports flexible schema,NoSQL database,Relational database,Hierarchical database,Network database,1
2-1,CSE 215,Database,2-1-CSE215-Q46,Which NoSQL database stores data as key value pairs,Key value store,Relational store,Graph store,Document store,1
2-1,CSE 215,Database,2-1-CSE215-Q47,Which NoSQL database stores JSON like documents,Document database,Graph database,Key value database,Column database,1
2-1,CSE 215,Database,2-1-CSE215-Q48,Which NoSQL database represents relationships as nodes and edges,Graph database,Document database,Key value database,Column database,1
2-1,CSE 215,Database,2-1-CSE215-Q49,Which SQL command defines database structure,DDL,MLL,DML,DQL,1
2-1,CSE 215,Database,2-1-CSE215-Q50,Which SQL command controls permissions,DCL,DML,DDL,DQL,1

2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q1,What is the main purpose of technical writing,Communicate technical information clearly,Write fictional stories,Create advertisements,Write poetry,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q2,Which quality is most important in technical writing,Clarity,Humor,Length,Decoration,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q3,Which section briefly summarizes a research paper,Abstract,Introduction,Conclusion,Appendix,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q4,Which section lists all references used,Bibliography,Preface,Index,Contents,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q5,Which section appears before the main content and explains purpose,Preface,Appendix,Index,Bibliography,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q6,Which section shows structure of chapters,Table of contents,Abstract,Index,Appendix,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q7,Which section lists important topics with page numbers,Index,Preface,Abstract,Title page,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q8,Which document describes research findings,Research paper,Advertisement,Blog post,Story,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q9,Which document summarizes evaluation of a book,Book review,Research paper,Technical report,Essay,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q10,Which report evaluates submitted research paper,Referee report,Technical manual,User guide,Book index,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q11,Which writing style defines technical terms,Definition style,Narrative style,Poetic style,Story style,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q12,Which writing component states a mathematical claim,Proposition,Paragraph,Section,Diagram,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q13,Which statement expresses proven mathematical truth,Theorem,Sentence,Topic,Example,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q14,Which part explains why a theorem is true,Proof,Definition,Example,Note,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q15,Which feature improves readability of documents,Proper formatting,Random formatting,No headings,Long paragraphs,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q16,Which tool is widely used for scientific document preparation,LaTeX,Photoshop,Excel,PowerPoint,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q17,Which LaTeX command creates a section,Section command,Paragraph command,Frame command,Label command,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q18,Which LaTeX environment is used for equations,Equation environment,Figure environment,Table environment,List environment,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q19,Which tool helps draw technical diagrams,Diagram drawing software,Video editor,Audio editor,Text editor,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q20,Which tool is commonly used for presentations,PowerPoint,Notepad,Calculator,Compiler,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q21,Which slide element highlights main idea,Title,Footer,Page number,Logo,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q22,Which presentation feature emphasizes key points,Bullet points,Random text,Large paragraphs,Long sentences,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q23,Which communication skill improves presentations,Clear speaking,Fast speaking,Mumbling,Reading slides,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q24,Which element improves understanding in presentations,Visual aids,Random animations,Long text slides,Complex sentences,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q25,Which part of report introduces the topic,Introduction,Conclusion,Appendix,Bibliography,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q26,Which section summarizes findings,Conclusion,Introduction,Title page,Preface,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q27,Which citation style is common in academic writing,APA style,Comic style,Magazine style,Informal style,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q28,Which practice avoids plagiarism,Citing sources,Copying text,Hiding references,Ignoring sources,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q29,Which element explains abbreviations in reports,Glossary,Appendix,Preface,Title page,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q30,Which section includes extra material,Appendix,Introduction,Conclusion,Abstract,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q31,Which writing style uses precise language,Technical style,Informal style,Story style,Humorous style,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q32,Which quality ensures document accuracy,Correctness,Decoration,Length,Color,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q33,Which writing method improves clarity,Short sentences,Long paragraphs,Complex grammar,Slang words,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q34,Which figure explains relationships visually,Diagram,Paragraph,Sentence,Table,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q35,Which part appears first in research paper,Title page,Appendix,Bibliography,Index,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q36,Which skill helps deliver effective presentations,Confidence,Nervousness,Silence,Avoiding eye contact,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q37,Which slide rule improves readability,Few words per slide,Long sentences,Paragraph slides,Random text,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q38,Which method improves audience engagement,Visual examples,Long theory,Reading slides,No explanation,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q39,Which part contains acknowledgments,Acknowledgment section,Appendix,Index,Table,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q40,Which writing tool manages references,Bibliography manager,Video editor,Compiler,Calculator,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q41,Which file format commonly stores research papers,PDF,MP3,JPG,AVI,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q42,Which practice improves writing quality,Proofreading,Ignoring errors,Skipping review,Rushing submission,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q43,Which step checks grammar and spelling,Editing,Compilation,Encoding,Encryption,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q44,Which type of document explains system usage,Technical manual,Novel,Poem,Advertisement,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q45,Which section describes background information,Introduction,Appendix,Index,Conclusion,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q46,Which presentation feature shows data visually,Charts,Paragraphs,Footnotes,References,1
2-2,CSE 200,Technical Writing and Presentation,2-2-CSE200-Q47,Which speaking technique improves clarity,Moderate pace,Fast talking,Mumbling,Whispering,1
